"Sélectif Régional de slalom - Slalom Tulle - Finale - 2015-10-18","Slalom Tulle","Finale","finale","2015-10-18","Régional","75"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Manon Prioux","C1D","124.91","-","251.79","finale a"
"Alice Lachaudru","C1D","130.13","355.07","304.8","finale a"
"Lucie Freyssinet","C1D","150.15","473.61","508.09","finale a"
"Antoine Roux","C1H","109.97","137.4","259.6","finale a"
"Boris Chenal","C1H","113.75","285.9","303.47","finale a"
"Cyril Leblond","C1H","113.82","305.38","304.28","finale a"
"Nicolas Baudoin","C1H","113.92","301.98","305.44","finale a"
"Gurgen Brun","C1H","115.41","314.68","322.73","finale a"
"Marc Brossard","C1H","121.54","-","393.87","finale a"
"Raphael Lassechere","C1H","123.66","346.45","418.47","finale a"
"Clement Monjanel","C1HM","132.5","-","521.06","finale a"
"Thomas Bassaler","C1HM","164.09","-","887.68","finale a"
"Alice Lachaudru-Lucie Freyssinet","C2D","174.45","-","618.57","finale a"
"Antoine Roux-Gurgen Brun","C2H","109.88","176.93","200.6","finale a"
"Nicolas Baudoin-Benjamin Jacon","C2H","126.84","-","388.47","finale a"
"Maxence Merpillat-Raphael Lassechere","C2H","128.83","401.2","410.52","finale a"
"Axel Poletto-Medhi Gayoux","C2HM","194.03","-","1132.79","finale a"
"Manon Prioux-Antoine Roux","C2M","123.29","-","235.34","finale a"
"Manon Prioux","K1D","113.0","238.21","201.93","finale a"
"Alice Lachaudru","K1D","118.72","231.82","263.61","finale a"
"Alexia Bechu","K1D","125.07","336.76","332.08","finale a"
"Georgina Fereday","K1DM","159.77","-","706.27","finale a"
"Nicolas Baudoin","K1H","94.59","92.44","136.0","finale a"
"Boris Chenal","K1H","94.86","68.19","139.29","finale a"
"Gurgen Brun","K1H","95.95","102.52","152.57","finale a"
"Antoine Roux","K1H","96.22","130.06","155.86","finale a"
"Benjamin Jacon","K1H","100.08","113.46","202.9","finale a"
"Raphael Lassechere","K1H","103.32","247.83","242.38","finale a"
"Alexis Dorey","K1H","105.6","280.34","270.16","finale a"
"Maxence Merpillat","K1H","106.37","315.78","279.55","finale a"
"Lionel De Miranda","K1H","106.62","-","282.59","finale a"
"Antoine Grillier","K1H","107.03","299.35","287.59","finale a"
"Marc Brossard","K1H","109.33","294.51","315.62","finale a"
"Pierre Dehaudt","K1H","109.77","322.65","320.98","finale a"
"Karl Bouthegourd","K1H","113.04","445.39","360.82","finale a"
"Jerome Muller","K1H","115.49","424.85","390.68","finale a"
"Louis Bouchiat","K1H","115.6","327.55","392.02","finale a"
"David Isere","K1H","116.64","452.83","404.69","finale a"
"Antoine Bouby","K1H","118.38","462.6","425.89","finale a"
"Clement Monjanel","K1HM","114.48","-","378.37","finale a"
"Antoine Corler","K1HM","120.45","-","451.12","finale a"
"Axel Poletto","K1HM","134.63","-","623.91","finale a"
"Thomas Bassaler","K1HM","143.37","-","730.41","finale a"
"Karl Bouthegourd","C1H","121.67","618.68","400.38","finale b"
"Louis Bouchiat","C1H","128.2","438.03","476.16","finale b"
"Maxence Merpillat","C1H","132.08","484.12","521.19","finale b"
"Jerome Muller","C1H","135.22","639.57","557.64","finale b"
"Etienne Plaza","C1H","140.9","-","623.55","finale b"
"Pascal Nadasi","C1H","164.54","-","897.9","finale b"
"ClÉment Canguilhem","C1H","273.38","-","2161.01","finale b"
"Louis Bouchiat-Cyril Leblond","C2H","126.93","-","394.47","finale b"
"Jerome Muller-Franck Le Coz","C2H","135.67","-","491.29","finale b"
"Anatole Fourcade-Luca Gri","C2H","185.41","-","1042.3","finale b"
"Lucie Freyssinet","K1D","130.78","269.68","398.66","finale b"
"Elisa Chorques","K1D","133.55","546.94","428.53","finale b"
"Lou Roques","K1D","203.53","1817.27","1183.17","finale b"
"Etienne Plaza","K1H","119.11","563.52","439.79","finale b"
"Florent Cales","K1H","119.17","-","440.52","finale b"
"Corentin Bechu","K1H","120.49","566.27","456.61","finale b"
"Mathieu Ferreira","K1H","121.76","-","472.08","finale b"
"Franck Le Coz","K1H","122.78","511.01","484.51","finale b"
"Andre Vieille","K1H","125.1","974.86","512.78","finale b"
"Laurence Scrimgeour","K1H","126.6","559.74","531.06","finale b"
"Quentin Josse","K1H","128.56","-","554.94","finale b"
"Pascal Combe","K1H","129.81","557.06","570.18","finale b"
"Aymerik Granveau","K1H","133.09","-","610.14","finale b"
"Kyllian Berrand","K1H","135.15","-","635.25","finale b"
"Luca Gri","K1H","135.88","1500.43","644.14","finale b"
"Pascal Nadasi","K1H","144.15","-","744.91","finale b"
"Clement Debroise","K1H","150.04","2214.59","816.69","finale b"
"Remy Large","K1H","152.19","-","842.89","finale b"
"Emmanuel Castin","K1H","227.99","-","1766.55","finale b"
"Valentin Viale","K1HM","142.11","-","720.06","finale b"
"Anatole Fourcade","K1HM","151.41","-","833.38","finale b"
"Medhi Gayoux","K1HM","153.42","-","857.87","finale b"
