"Sélectif Régional - Hermes - Finale - 2014-06-15","Finale","2014-06-15","Régional","89"
"Athlète","Catégorie","Score","Valeur","Points course","Finale A/B"
"Camille Fontaine","C1D","119.47","235.58","269.78","Finale A"
"Emilie Delahaye","C1D","129.22","366.96","371.49","Finale A"
"Natacha Giraud","C1D","147.96","-","567","Finale A"
"Marion Taviaux","C1D","Nt","-","-","Finale A"
"Quentin Bove","C1H","102.19","137.39","241.81","Finale A"
"Benoit Le Mazurier","C1H","106.72","284.33","295.82","Finale A"
"Xavier Jourdain","C1H","108.03","238.12","311.44","Finale A"
"Francois Durand","C1H","109.5","288.3","328.97","Finale A"
"Louis Vandeville","C1H","110.15","256.25","336.72","Finale A"
"Jeremy Grippon","C1H","111.33","378.65","350.79","Finale A"
"Nicolas Ducrocq","C1H","116.33","335","410.39","Finale A"
"Nicolas Feuillard","C1H","117.25","-","421.37","Finale A"
"Bastien Moreaux","C1H","117.5","453.73","424.35","Finale A"
"Vincent Ganthier","C1H","Nt","-","-","Finale A"
"Manon Borde-Marion Taviaux","C2D","195.37","-","904.81","Finale A"
"Xavier Jourdain-Francois Durand","C2H","114.41","-","325.5","Finale A"
"Etienne Carpentier-Tristan Lejot","C2H","119.06","-","378.42","Finale A"
"Jeremy Grippon-Nathan Aubert","C2H","121.53","527.29","406.53","Finale A"
"Nicolas Feuillard-Emilie Hernandez-brossard","C2M","134.31","-","424.6","Finale A"
"Louise Chauvary-Nicolas Ducrocq","C2M","161.78","-","711.17","Finale A"
"Camille Fontaine","K1D","109.35","203.31","234.88","Finale A"
"Emilie Delahaye","K1D","112.15","248.84","265.9","Finale A"
"Lucie Cecile","K1D","115.78","302.71","306.11","Finale A"
"Natacha Giraud","K1D","120.75","388.18","361.17","Finale A"
"Marion Taviaux","K1D","130.53","534.99","469.51","Finale A"
"Quentin Bove","K1H","90.6","79.3","157.64","Finale A"
"Nicolas Feuillard","K1H","94.47","105.42","206.09","Finale A"
"Xavier Jourdain","K1H","96.12","107.17","226.74","Finale A"
"Nathan Boudaillez","K1H","98.25","247.84","253.41","Finale A"
"Thomas Postaire","K1H","100.59","272.88","282.7","Finale A"
"Francois Durand","K1H","100.97","245.63","287.46","Finale A"
"Etienne Carpentier","K1H","101.81","171.02","297.97","Finale A"
"Florian Crette","K1H","103.75","-","322.26","Finale A"
"Louis Vandeville","K1H","104.78","305.03","335.15","Finale A"
"Yani Ferhaoui","K1H","105.41","314.98","343.04","Finale A"
"Maxime Poupart","K1H","106.1","313.61","351.68","Finale A"
"Nathan Aubert","K1H","107.35","228.89","367.33","Finale A"
"Paul Besnard","K1H","107.81","391.52","373.08","Finale A"
"Alban Duboc","K1H","108.09","324.57","376.59","Finale A"
"Son Bui","K1H","109.22","387.24","390.74","Finale A"
"Anthony Codemo","K1H","109.29","422.05","391.61","Finale A"
"Bastien Moreaux","K1H","109.56","396.91","394.99","Finale A"
"Clement Sannier","K1H","109.72","351.73","396.99","Finale A"
"Benoit Le Mazurier","K1H","109.9","-","399.25","Finale A"
"Corentin Desenclos","K1H","110.78","337.49","410.26","Finale A"
"Arnaud Mercier","K1H","113.19","502.35","440.43","Finale A"
"Thomas Durand","K1H","150.72","276.65","910.26","Finale A"
"Martin Jaze","K1H","Nt","-","-","Finale A"
"Bastien Belembert","K1H","Nt","-","-","Finale A"
"Guillaume Velon","C1H","116.59","-","418.49","Finale B"
"Erwan Gautrelet","C1H","121.16","442.67","472.97","Finale B"
"Virgile Bourlet De La Vallee","C1H","121.97","536.21","482.64","Finale B"
"Vincent Demarquet","C1H","128.13","527.87","556.09","Finale B"
"Clement Sannier","C1H","130.72","-","586.96","Finale B"
"Theo Galet","C1H","146.82","-","778.92","Finale B"
"Mickael Dubois","C1H","147.94","941.49","792.26","Finale B"
"Bernard Cerney","C1H","163.31","1232.98","975.51","Finale B"
"Bastien Belembert","C1H","Nt","-","-","Finale B"
"Philippe Vermersch-Bernard Cerney","C2H","145.97","1150.87","689.67","Finale B"
"Mickael Dubois-Pierre Emmanuel Ravet","C2H","176.28","-","1034.62","Finale B"
"Martin Rich-Virgile Bourlet De La Vallee","C2H","179","701.69","1065.57","Finale B"
"Emilie Hernandez-brossard","K1D","115.6","-","309.12","Finale B"
"Marine Vegnaduzzo","K1D","125.31","-","416.69","Finale B"
"Manon Borde","K1D","132.94","634.21","501.22","Finale B"
"Louise Chauvary","K1D","164.25","-","848.08","Finale B"
"Bastien Meslet","K1H","95.22","208.48","220.48","Finale B"
"Tristan Lejot","K1H","105.66","188.44","351.17","Finale B"
"Hugo Pidoux","K1H","107.31","453.24","371.82","Finale B"
"Teddy Cossard","K1H","116.78","521.27","490.38","Finale B"
"Aurelien Riviere","K1H","117.85","644.33","503.77","Finale B"
"Tony Gueville","K1H","118.44","-","511.16","Finale B"
"Elliot Gest","K1H","119.65","-","526.3","Finale B"
"Theo Galet","K1H","122.41","-","560.85","Finale B"
"Damien Jacques","K1H","122.57","581.01","562.86","Finale B"
"Vincent Demarquet","K1H","124.47","572.41","586.64","Finale B"
"Nicolas Lalliot","K1H","125.35","-","597.66","Finale B"
"Johann Sacleux","K1H","125.69","511.61","601.92","Finale B"
"Mickael Dubois","K1H","126.01","546.52","605.92","Finale B"
"Maxime Hery","K1H","127.29","660.22","621.95","Finale B"
"Martin Rich","K1H","127.5","661.59","624.57","Finale B"
"Pierre Emmanuel Ravet","K1H","130.06","-","656.62","Finale B"
"Eric Bernard","K1H","131.21","-","671.02","Finale B"
"Philippe Vermersch","K1H","139.35","779.06","772.92","Finale B"
"Charles Glachant","K1H","141.62","3217.53","801.34","Finale B"
"Maxence Guiheneuf","K1H","144.09","-","832.26","Finale B"
"Clement Chaumont","K1H","199.9","-","1530.92","Finale B"
"Louis Chaumont","K1H","248.03","-","2133.43","Finale B"
"Francis Boitel","K1H","326.03","-","3109.88","Finale B"
"Aurelien Grebert","K1H","353.27","-","3450.89","Finale B"
